_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,if__people_are_eating_the_cake_please_choose_their_gender_,if__people_are_eating_the_cake_please_choose_their_gender_:confidence,if_people_are_eating_the_cake_please_choose_their_age_,if_people_are_eating_the_cake_please_choose_their_age_:confidence,who_is_eating_or_is_likely_to_eat_the_cake,who_is_eating_or_is_likely_to_eat_the_cake:confidence,image_url
685655221,finalized,3,3/6/15 14:01,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.womenshealthmag.com/files/wh6_uploads/images/let-them-eat-cake_0.jpg
685655222,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.poshseven.com/webimages/recipes/eatingcake.jpg
685655223,finalized,3,3/6/15 13:34,Male,0.6738,Kid (younger than 13),1,Person,1,http://www.simpli.fi/wp-content/uploads/Marketing-Land-June-Article.jpg
685655224,finalized,3,3/6/15 13:33,Female,1,Kid (younger than 13),1,Person,1,http://www.compliancemonitor.com/incoming/article61698.ece/ALTERNATES/w940/Having%2Band%2Beating%2Bcake.jpg
685655225,finalized,3,3/6/15 14:02,Female,1,Adult/Teenager (13 or older),1,Person,1,http://collegecandy.files.wordpress.com/2007/11/19/eating-cake.jpg
685655226,finalized,3,3/6/15 13:33,Female,0.6535,Adult/Teenager (13 or older),1,Person,1,http://images.diyvideoeditor.com/uploads/full/52fdcb6dbda02.png
685655227,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.englishwebbook.com/wp-content/uploads/2014/04/woman-eating-cake-1024x1024.jpg
685655228,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Person,1,http://i6.cdnds.net/13/10/450x450/eating-cakes.jpg
685655229,finalized,3,3/6/15 14:02,,,,,Image Not Working,1,http://www.dentistryiq.com/content/dam/diq/online-articles/2013/07/Girl%2520with%2520chocolate%2520cake.jpg
685655230,finalized,3,3/6/15 13:33,Male,1,Kid (younger than 13),1,Person,1,http://upload.wikimedia.org/wikipedia/commons/3/32/Eating_Cake_(3132108220).jpg
685655231,finalized,3,3/6/15 14:01,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.paulbrowning.com/wp-content/uploads/2010/10/cake.jpg
685655232,finalized,3,3/6/15 13:31,Female,0.666,Kid (younger than 13),1,Person,1,http://www.imagethirst.com/wordpress/wp-content/uploads/2011/01/Girl-eating-cake.jpg
685655233,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://ronewzakcleveland.files.wordpress.com/2012/02/eat-cake-lose-weight.png
685655234,finalized,3,3/6/15 13:32,Male,0.6622,Kid (younger than 13),1,Person,1,http://media.giphy.com/media/GUi6Wy5CQjKxy/giphy.gif
685655235,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://renegadechicks.com/wp-content/uploads/2013/04/woman-eating-cake.jpg
685655236,finalized,3,3/6/15 14:02,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.seven-health.com/wp-content/uploads/2011/09/girl-eating-cake-7-Health.png
685655237,finalized,3,3/6/15 13:32,Female,1,Adult/Teenager (13 or older),1,Person,1,http://img2.timeinc.net/health/images/healthy-living/eating-cake-fridge-400x400.jpg
685655238,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://blog.timesunion.com/healthyprofessor/files/2010/10/298x232-woman_eating_cake-298x232_woman_eating_cake1.jpg
685655239,finalized,3,3/6/15 13:31,Male,1,Adult/Teenager (13 or older),1,Person,1,http://www.lewesfc.com/wp-content/uploads/2013/03/Man-eating-cake.jpg
685655240,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Person,1,http://thumbs.dreamstime.com/z/girl-eating-cake-14187928.jpg
685655241,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.sciencephoto.com/image/318486/350wm/P9200382-Woman_eating_cake-SPL.jpg
685655242,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Person,1,http://thumbs.dreamstime.com/z/girl-eating-cake-27802305.jpg
685655243,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://thumbs.dreamstime.com/z/christmas-girl-santa-hat-eat-cake-red-eating-plate-isolated-35353463.jpg
685655244,finalized,3,3/6/15 13:32,Male,1,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/z/boy-eating-cake-9248147.jpg
685655245,finalized,3,3/6/15 14:02,Male,0.672,Kid (younger than 13),1,Person,1,http://sidoxia.files.wordpress.com/2010/10/eating-cake.jpg
685655246,finalized,3,3/6/15 13:32,Female,1,Adult/Teenager (13 or older),1,Person,1,http://misstrong.com/wp-content/uploads/2014/09/woman-eating-a-large-piece-of-cake.jpg
685655247,finalized,3,3/6/15 13:34,Male,1,Kid (younger than 13),1,Person,1,http://babysbreastie.com/wp-content/uploads/2012/08/Eating-Cake-2.jpg
685655248,finalized,3,3/6/15 13:33,Male,1,Kid (younger than 13),1,No Person,1,http://www.solofoods.com/sites/solofoods.com/files/cat-eating-cake-9.jpg
685655249,finalized,3,3/6/15 13:32,Male,1,Adult/Teenager (13 or older),1,Person,1,http://thumbs.dreamstime.com/z/senior-man-eating-cake-14353814.jpg
685655250,finalized,3,3/6/15 14:01,Male,0.6598,Kid (younger than 13),1,Person,1,http://4.bp.blogspot.com/_4FE-xCo1DlE/TSfNHc1DgfI/AAAAAAAAAFw/pG5TgeW2kc4/s1600/jacob_1908_mouth.jpg
685655251,finalized,3,3/6/15 13:32,Male,1,Kid (younger than 13),1,Person,1,http://vernacular.co.nz/wp-content/uploads/2014/11/child-eating-cake-and-ice-cream1.jpg
685655252,finalized,3,3/6/15 13:38,Female,1,Adult/Teenager (13 or older),1,Image Not Working,0.6685,http://4photos.net/photosv5/euphoric_woman_eating_cake_1346422567.jpg
685655253,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Person,1,https://loseweightwithsue.files.wordpress.com/2011/01/woman-eating-cake-beautyheaven.jpg
685655254,finalized,3,3/6/15 13:38,Male,1,Kid (younger than 13),1,Person,1,https://thehistoryofus.files.wordpress.com/2012/08/s41585ta119376_43_0.jpg
685655255,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Image Not Working,1,http://www.teamawot.com/wp-content/uploads/2013/04/Woman-eating-cake.jpg
685655256,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://i.huffpost.com/gen/1967206/thumbs/o-EATING-CAKE-facebook.jpg
685655257,finalized,3,3/6/15 13:34,Male,1,Kid (younger than 13),1,Person,1,http://www.wallpaperswala.com/wp-content/gallery/happy-baby/happy-baby-eating-cake.jpg
685655258,finalized,3,3/6/15 13:34,Male,1,Adult/Teenager (13 or older),1,Person,1,http://onida.files.wordpress.com/2006/12/paggy-eating-cake.JPG
685655259,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.hercampus.com/sites/default/files/2014/12/01/cake.jpg
685655260,finalized,3,3/6/15 13:38,Male,0.5996,Kid (younger than 13),0.7203,Person,1,http://www.artisticglobe.com/wp-content/uploads/2012/10/Cute-Baby-Eating-Cake.jpg
685655261,finalized,3,3/6/15 13:38,Female,1,Adult/Teenager (13 or older),1,Person,1,https://shechive.files.wordpress.com/2014/05/sheree-eating-cake.gif
685655262,finalized,3,3/6/15 13:38,Female,0.7203,Adult/Teenager (13 or older),1,Person,1,http://joditiahrt.com/wp-content/uploads/2014/09/20100702-woman-eating-chocolate-cake-300x205.jpg
685655263,finalized,3,3/6/15 13:32,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.eatthedamncake.com/wordpress/wp-content/uploads/2012/06/bethany-eating-cake.jpg
685655264,finalized,3,3/6/15 13:38,Male,1,Adult/Teenager (13 or older),1,Person,1,http://www.thephuketnews.com/photo/listing/1363931241_1.jpg
685655265,finalized,3,3/6/15 13:34,Male,1,Kid (younger than 13),1,Person,1,https://magiccitymanifesto.files.wordpress.com/2011/07/cake.jpg
685655266,finalized,3,3/6/15 13:32,Female,1,Adult/Teenager (13 or older),1,Person,1,http://i5.cdnds.net/13/02/450x450/woman_eating_cake_diet.jpg
685655267,finalized,3,3/6/15 13:32,Male,0.6712,Kid (younger than 13),1,Person,1,http://dpden.com/images/cute-photos/eating-cake.jpg
685655268,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://thatssoyummy.com/wp-content/uploads/2010/05/4636296439_f2b1235824_o.jpg
685655269,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://4.bp.blogspot.com/-DhmmYH7CWUE/Tk5D0HRTCcI/AAAAAAAAAP8/nuWpQCVnygI/s1600/sarah-eating-cake.gif
685655270,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://static8.depositphotos.com/1028979/866/i/950/depositphotos_8663946-Portrait-of-young-pretty-smiling-woman-eating-cake-at-shopping-m.jpg
685655271,finalized,3,3/6/15 14:01,Male,1,Kid (younger than 13),1,Person,1,http://www.growingyourbaby.com/wp-content/uploads/2013/04/eating-cake.jpg
685655272,finalized,3,3/6/15 13:32,Female,1,Kid (younger than 13),1,Person,1,https://wheregooddreamsneverdie.files.wordpress.com/2011/11/young_girl_in_kitchen_being_messy_eating_cake_pe0061933.jpg
685655273,finalized,3,3/6/15 13:31,Female,0.6774,Kid (younger than 13),1,Person,1,http://2.bp.blogspot.com/-CP-2NIIGG2Y/Tp2V5scAEoI/AAAAAAAABPA/mq9ZJpSmHdo/s1200/Babies_Eating_Cake%252B%2525281%252529.jpg
685655274,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://maggiekayeauthor.com/wp-content/uploads/2014/04/Girl-Eating-Cake.jpg
685655275,finalized,3,3/6/15 13:38,Female,1,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/z/two-little-baby-girl-eating-cake-28987752.jpg
685655276,finalized,3,3/6/15 13:33,Male,1,Adult/Teenager (13 or older),1,Image Not Working,1,http://modeltypeface.com/wp-content/uploads/2014/11/eating-cake.jpg
685655277,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://thumbs.dreamstime.com/z/woman-eating-cake-11738290.jpg
685655278,finalized,3,3/6/15 14:01,Female,1,Adult/Teenager (13 or older),1,Person,1,http://coachwithlisa.com/wp-content/uploads/2013/06/Woman-eating-cake.jpg
685655279,finalized,3,3/6/15 14:02,Female,1,Kid (younger than 13),1,Person,1,http://adashot.me/wp-uploads/2011/08/Aurora_eats_pb_cake.jpg
685655280,finalized,3,3/6/15 13:38,Male,1,Kid (younger than 13),0.7203,Person,1,http://thumbs.dreamstime.com/z/baby-eating-chocolate-cake-15057777.jpg
685655281,finalized,3,3/6/15 13:34,Male,1,Adult/Teenager (13 or older),1,Person,1,http://thumbs.dreamstime.com/z/senior-man-eating-cake-14353724.jpg
685655282,finalized,3,3/6/15 13:38,Female,0.7203,Adult/Teenager (13 or older),1,Person,1,http://cloud.graphicleftovers.com/29565/950977/girl-eating-cake.jpg
685655283,finalized,3,3/6/15 14:02,,,,,Image Not Working,1,http://imfathelpme.com/wp-content/uploads/2012/07/Woman-eating-cake.jpg
685655284,finalized,3,3/6/15 13:34,Female,1,Kid (younger than 13),1,Person,1,http://gallery.johnandcailin.com/d/12325-3/IMG_8993-01.jpg
685655285,finalized,3,3/6/15 13:38,Male,1,Adult/Teenager (13 or older),1,Image Not Working,1,http://omigoddess.com.au/wp-content/uploads/2009/11/woman-eating-cake.jpg
685655286,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.indopacificreview.com/wp-content/uploads/2014/02/Keep-Calm-and-Let-Them-Eat-Cake.png
685655287,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://geniusbeauty.com/wp-content/uploads/2012/02/eating-chocolate-cake.png
685655288,finalized,3,3/6/15 13:31,Male,0.7,Adult/Teenager (13 or older),1,Person,1,http://www.idiap.ch/~mathew/JordiAkka/cake_eating_2.jpg
685655289,finalized,3,3/6/15 13:33,,,,,Image Not Working,1,http://www.english212.com/three/Eating%2520Cake.jpg
685655290,finalized,3,3/6/15 13:34,Male,1,Kid (younger than 13),1,Person,1,http://motherlove.me/wp-content/uploads/messy-hispanic-baby-eating-cake-2.jpg
685655291,finalized,3,3/6/15 13:31,Male,1,Adult/Teenager (13 or older),1,Person,1,http://spruestory.com/wp-content/uploads/2014/02/johnny-cash-cake.jpg
685655292,finalized,3,3/6/15 13:33,Male,1,Kid (younger than 13),1,Person,1,http://images.boomsbeat.com/data/images/full/2187/children-eating-cake6-jpg.jpg
685655293,finalized,3,3/6/15 14:01,Female,1,Adult/Teenager (13 or older),1,Person,1,http://xdesktopwallpapers.com/wp-content/uploads/2011/01/Kylie-Minogue-Eating-Cake.jpg
685655294,finalized,3,3/6/15 13:32,Male,1,Kid (younger than 13),1,Person,1,https://writejanewrite.files.wordpress.com/2013/02/img_0550.jpg
685655295,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Person,1,http://healthveda.com/wp-content/uploads/2011/07/woman-eating-cake.jpg
685655296,finalized,3,3/6/15 13:38,Female,1,Kid (younger than 13),0.6723,Person,1,http://cdn.sheknows.com/articles/2013/09/Kori/girl-eating-cake.jpg
685655297,finalized,3,3/6/15 13:38,Male,1,Kid (younger than 13),0.7203,Person,1,http://babysbreastie.com/wp-content/uploads/2012/08/Eating-Cake-3.jpg
685655298,finalized,3,3/6/15 13:32,Female,1,Adult/Teenager (13 or older),1,Person,1,http://media2.popsugar-assets.com/files/2011/10/40/5/192/1922729/183dca51bf7f6504_eating-cake.xxxlarge/i/How-Make-Up-Indulging.jpg
685655299,finalized,3,3/6/15 13:31,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.cityline.ca/wp-content/uploads/2012/02/httprdmmedia.topscms.comRDMCityTVPublishedimages55aea648438048598baad9df5881ccd2-475x315.jpg
685655300,finalized,3,3/6/15 13:33,Male,1,Adult/Teenager (13 or older),1,Person,1,http://1.bp.blogspot.com/-Zh5GhcD153Q/TaR3e6X33GI/AAAAAAAAAtw/bf0pcjYV7VQ/s1600/a97575_g222_3-cake-eating.jpg
685655301,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://thumbs.dreamstime.com/z/good-time-happy-beautiful-girl-eating-cake-24404536.jpg
685655302,finalized,3,3/6/15 13:32,Female,1,Adult/Teenager (13 or older),1,Person,1,http://xdesktopwallpapers.com/wp-content/uploads/2011/11-3/Girl-Eating-Wedding-Cake.jpg
685655303,finalized,3,3/6/15 13:33,Male,1,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/z/boy-eating-cake-9247289.jpg
685655304,finalized,3,3/6/15 13:34,Female,0.6721,Kid (younger than 13),1,Person,1,https://c2.staticflickr.com/6/5325/9580775298_2f5e9ec65f_z.jpg
685655305,finalized,3,3/6/15 13:34,Male,0.6721,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/x/baby-eating-cake-694672.jpg
685655306,finalized,3,3/6/15 13:31,Male,1,Kid (younger than 13),1,Person,1,http://dreamycakes.com/wp-content/uploads/2013/08/kid-eating-cake.png
685657478,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://sunnytatra.com/wp-content/uploads/2014/07/Woman%2Beating%2Bfruit.jpg
685657479,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://fruitslimmingpills.com/wp-content/uploads/2014/03/Healthy-fruits.jpg
685657480,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.femside.com/wp-content/uploads/2013/05/eating-watermelon.jpg
685657481,finalized,3,3/6/15 14:08,Female,1,Kid (younger than 13),1,Person,1,http://nspt4kids.com/wp-content/uploads/2013/04/child-fruit.jpg
685657482,finalized,3,3/6/15 14:06,Female,1,Kid (younger than 13),1,Person,1,http://cspinet.org/images/carrotgirl.JPG
685657483,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://blog.frational.com/wp-content/uploads/2013/07/eat-fruits.jpg
685657484,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.bollyberg.com/wp-content/uploads/2013/06/Reasons-For-Eating-Fruits.jpg
685657485,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://citygirlbites.com/blog/wp-content/uploads/2013/08/girl-eating-fruit2.jpg
685657486,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://blog.ecotools.com/wp-content/uploads/2012/07/Eating-Fruits-for-Healthy-Skin.png
685657487,finalized,3,3/6/15 14:36,,,,,Image Not Working,1,http://1-ps.googleusercontent.com/hk/kKQBBn0GgInMWfy_BHcBWyMa7u/www.nidsun.com/wp-content/themes/prominent/xtimthumb.php
685657488,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://cf.ltkcdn.net/diet/images/std/140915-425x282-eating-fruit2.jpg
685657489,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://tx.english-ch.com/teacher/christin/howtoeatfruits.jpg
685657490,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://image.yaymicro.com/rz_1210x1210/1/6c0/pretty-girl-eating-fruits-16c0bbc.jpg
685657491,finalized,3,3/6/15 14:06,Female,0.6685,Adult/Teenager (13 or older),0.6685,Person,1,http://joettles.com.au/blog/wp-content/uploads/2013/04/woman_eating_fruit2.jpg
685657492,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://topnews.in/healthcare/sites/default/files/Eating_Fruits_Vegetables.jpg
685657493,finalized,3,3/6/15 14:37,,,,,Image Not Working,1,http://hdwallpapers.cat/wallpaper/healthy_habits_preferring_fruits_yellow_hd-wallpaper-1306401.jpg
685657494,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://jonbarron.org/sites/default/files/images/eating-fruits-vegetables.jpg
685657495,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.pattyshapiro.com/wp-content/uploads/2014/04/article.jpg
685657496,finalized,3,3/6/15 14:37,Female,1,Adult/Teenager (13 or older),1,Person,1,http://1.bp.blogspot.com/-CAgmPa6HfN0/UP6QTxxeNJI/AAAAAAAAC3A/hJs4E5IC-co/s1600/Eating-Fruit-and-Vegetables-make-People-Optimistic.jpg
685657497,finalized,3,3/6/15 14:36,Male,1,Kid (younger than 13),1,Person,1,http://melissashealthyliving.com/wp-content/uploads/2013/02/Toddler-eating-fruit.jpg
685657498,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,https://docakilah.files.wordpress.com/2012/07/yummyfruit.jpg
685657499,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.topnews.in/files/Eating-Fruit.jpg
685657500,finalized,3,3/6/15 14:07,Male,0.672,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/z/babies-eating-fruits-cute-girls-31405802.jpg
685657501,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.simplyraw.ca/wp-content/uploads/2011/06/bigstock_Woman_Eating_Fruit_70837041.jpg
685657502,finalized,3,3/6/15 14:36,Female,1,Adult/Teenager (13 or older),1,Person,1,http://3.bp.blogspot.com/_fLXzEqrUtos/TUjtjIE81AI/AAAAAAAAAMw/W-CLKOjl-JE/s1600/eating-fruits-vegetables-benefits.png
685657503,finalized,3,3/6/15 14:40,Female,1,Adult/Teenager (13 or older),1,Person,1,http://skinnytoday.org/wp-content/uploads/2015/01/eating-fruits.jpg
685657504,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.mamashealth.com/diets/images/fruits.jpg
685657505,finalized,3,3/6/15 14:40,Female,1,Adult/Teenager (13 or older),1,Person,1,http://fitnizz.com/wp-content/media/diet-foods-help-weight-loss.jpg
685657506,finalized,3,3/6/15 14:36,Female,1,Kid (younger than 13),1,Person,1,http://www.fruitsinfo.com/fruit-facts/wp-content/uploads/2011/02/Eating-fruits-before-or-after-meal.jpg
685657507,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://cdn.glamcheck.com/health/files/2012/04/Summer-diet-eat-fruits1.jpg
685657508,finalized,3,3/6/15 14:40,Male,1,Kid (younger than 13),1,Person,0.651,http://thumbs.dreamstime.com/z/babies-eating-fruits-girls-fresh-31705359.jpg
685657509,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://kadvacorp.com/wp-content/uploads/2014/11/eating-fruit.jpg
685657510,finalized,3,3/6/15 14:40,Female,1,Adult/Teenager (13 or older),1,No Person,0.651,http://images.idiva.com/media/photogallery/2014/Jan/5fruits_600x450.jpg
685657511,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://media2.onsugar.com/files/2012/06/22/5/192/1922729/d4bb8c50aad13a07_melon.xxxlarge_1.jpg
685657512,finalized,3,3/6/15 14:08,,,,,Image Not Working,1,http://www.pnchydroponics.com/upload/images/Fresh%2520Kids/header_FamilyEatingFruit_1e3e_header.jpg
685657513,finalized,3,3/6/15 14:07,Female,1,Kid (younger than 13),1,Person,1,http://i.telegraph.co.uk/multimedia/archive/01632/childFruit_1632901c.jpg
685657514,finalized,3,3/6/15 14:07,Female,1,Adult/Teenager (13 or older),1,Person,1,http://i.dailymail.co.uk/i/pix/2010/11/02/article-1325741-002E5E0300000258-568_233x374.jpg
685657515,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.activevegetarian.com/wp-content/uploads/2010/10/iStock_000012825489XSmall.jpg
685657516,finalized,3,3/6/15 14:07,Male,1,Kid (younger than 13),1,Person,1,http://www.theparentszone.com/wp-content/uploads/2009/01/eating-fruits.jpg
685657517,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://3.bp.blogspot.com/_nTg1HJYZd0E/Sw9CU1quo2I/AAAAAAAAAwk/Pk3h9pLw6vY/s400/health.jpg
685657518,finalized,3,3/6/15 14:07,Female,1,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/z/eating-fresh-fruit-beautiful-girl-35594178.jpg
685657519,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.nidsun.com/wp-content/uploads/2012/05/fruit.jpg
685657520,finalized,3,3/6/15 14:08,Male,1,Kid (younger than 13),1,Person,1,http://1.bp.blogspot.com/-H9fbYZViwTM/UVnH5p9-TzI/AAAAAAAAD0c/PJIt5BsBCeY/s640/eating-strawberry.jpg
685657521,finalized,3,3/6/15 14:07,,,,,Image Not Working,1,http://womenworld.org/image/092012/5%2520Fruits%2520Causing%2520Harm%2520When%2520Eating%2520Much_1.jpg
685657522,finalized,3,3/6/15 14:07,,,,,Image Not Working,1,http://photos2.demandstudios.com/DM-Resize/photos.demandstudios.com%252Fgetty%252Farticle%252F94%252F79%252F148327422_XS.jpg
685657523,finalized,3,3/6/15 14:40,Female,1,Adult/Teenager (13 or older),1,Person,1,http://medicmagic.net/wp-content/uploads/2012/10/eat-fruits.jpg
685657524,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://women.smokefree.gov/media/44324/Tips-for-eating-more-fruits.jpg
685657525,finalized,3,3/6/15 14:40,Female,0.6979,Adult/Teenager (13 or older),1,Person,0.6979,http://jessicasmithtv.files.wordpress.com/2012/07/shutterstock_61041577.jpg
685657526,finalized,3,3/6/15 14:08,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.addictions.com/wp-content/uploads/Healthy-Eating-Fats.jpg
685657527,finalized,3,3/6/15 14:08,Female,1,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/x/little-girl-eating-fruit-salad-8334072.jpg
685657528,finalized,3,3/6/15 14:40,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.lahoripoint.com/wp-content/uploads/2013/03/Healthy-Diet-Plan-Eating-Girl.jpg
685657529,finalized,3,3/6/15 14:06,Female,1,Adult/Teenager (13 or older),1,Person,1,http://rawsungoddess.files.wordpress.com/2012/03/vegetarian1.jpg
685657530,finalized,3,3/6/15 14:07,Male,1,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/x/little-boy-eating-fruits-16869521.jpg
685657531,finalized,3,3/6/15 14:37,Female,0.6667,Adult/Teenager (13 or older),1,Person,1,http://www.nacentralohio.com/wp-content/uploads/2014/01/HB_0114_WomanEatingSalad.jpg
